id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90,data_source,jornada,fecha_descarga
9904,Gianluca Busio,29,1961,M S,Venezia,Serie-A,2021-2022,0.0458949515553289,0.0326091502372827,0.0917899031106578,0.0697769029569384,0.6425293217746048,0.6884242733299337,0.3671596124426313,0.0,0.0458949515553289,0.0326091502372827,0.2014348591634626,0.1428909509830758,historical,,
9952,Ridgeciano Haps,25,2070,D M S,Venezia,Serie-A,2021-2022,0.0434782608695652,0.0222755710229925,0.0434782608695652,0.0279259327394158,0.4782608695652174,0.5652173913043478,0.2608695652173913,0.0,0.0434782608695652,0.0222755710229925,0.1767015702536572,0.1382195086258908,historical,,
9985,Johan Vásquez,28,2292,D S,Genoa,Serie-A,2021-2022,0.0392670157068062,0.0370789984002202,0.0,0.0036414540909152,0.5890052356020943,0.1570680628272251,0.2748691099476439,0.0,0.0392670157068062,0.0370789984002202,0.1482152847965682,0.135265580404072,historical,,
257,Jeremy Toljan,20,1394,D S,Sassuolo,Serie-A,2021-2022,0.0,0.0058039219801446,0.0,0.0802086346743994,0.1936872309899569,0.9038737446197992,0.1291248206599713,0.0,0.0,0.0058039219801446,0.4285771585199207,0.3567191917406478,historical,,
308,Ricardo Rodríguez,34,2480,D S,Torino,Serie-A,2021-2022,0.0,0.0108506868277946,0.0362903225806451,0.0713396918576871,0.3266129032258064,0.7620967741935485,0.1088709677419354,0.0,0.0,0.0108506868277946,0.2163883545135538,0.2067956483186853,historical,,
329,Franck Ribéry,23,1422,F M S,Salernitana,Serie-A,2021-2022,0.0,0.056867639687431,0.1898734177215189,0.2373999353686842,0.7594936708860759,1.8987341772151896,0.1898734177215189,0.0,0.0,0.056867639687431,0.3597035056239441,0.18551667609924,historical,,
475,Lucas Leiva,35,1688,M S,Lazio,Serie-A,2021-2022,0.0,0.0050452465778525,0.0533175355450237,0.0181188343437079,0.159952606635071,0.3199052132701421,0.4798578199052133,0.0,0.0,0.0050452465778525,0.3579108073746883,0.3411378409223569,historical,,
505,David Ospina,31,2790,GK,Napoli,Serie-A,2021-2022,0.0,0.0,0.0,0.0,0.0,0.0,0.032258064516129,0.0,0.0,0.0,0.1045685990923835,0.1045685990923835,historical,,
560,Sergio Romero,16,1440,GK,Venezia,Serie-A,2021-2022,0.0,0.0,0.0,0.0058654812164604,0.0,0.0625,0.125,0.0,0.0,0.0,0.0377791622886434,0.0319136810721829,historical,,
703,Fikayo Tomori,31,2722,D S,AC Milan,Serie-A,2021-2022,0.0,0.0644166449332591,0.0,0.001908227170747,0.3967670830271859,0.1322556943423952,0.1322556943423952,0.0,0.0,0.0644166449332591,0.3180378632897799,0.3161763444592154,historical,,
725,Ola Aina,21,1443,D M S,Torino,Serie-A,2021-2022,0.0,0.0214712866998264,0.0,0.109523457287193,0.6237006237006237,0.997920997920998,0.2494802494802495,0.0,0.0,0.0214712866998264,0.2592135649832767,0.1544377751834303,historical,,
1098,Miguel Veloso,22,1347,M S,Verona,Serie-A,2021-2022,0.0,0.0368927575788877,0.2004454342984409,0.1302483126952547,1.135857461024499,1.7371937639198216,0.3340757238307349,0.0668151447661469,0.0,0.0368927575788877,0.4161406933995822,0.338164292491624,historical,,
1099,Tomás Rincón,24,1332,M S,"Sampdoria,Torino",Serie-A,2021-2022,0.0,0.0118807431411098,0.0,0.0075313445759584,0.1351351351351351,0.4054054054054054,0.3378378378378378,0.0,0.0,0.0118807431411098,0.1584860920981579,0.1399250796719177,historical,,
1114,Davide Biraschi,14,938,D M S,Genoa,Serie-A,2021-2022,0.0,0.0073086629325805,0.0,0.0108887529425593,0.2878464818763326,0.2878464818763326,0.3837953091684435,0.0,0.0,0.0073086629325805,0.085138071801013,0.0701237504066688,historical,,
1142,Samir,17,1430,D,Udinese,Serie-A,2021-2022,0.0,0.072007698182772,0.0,0.0061809418892318,0.4405594405594406,0.1888111888111888,0.3146853146853147,0.0,0.0,0.072007698182772,0.2030089123083369,0.1961869119138984,historical,,
1190,Joel Obi,21,1145,D M S,Salernitana,Serie-A,2021-2022,0.0,0.1407973960562564,0.0786026200873362,0.1239625953593368,0.7860262008733624,1.100436681222707,0.314410480349345,0.0,0.0,0.1407973960562564,0.2924167921839843,0.0672547205241486,historical,,
