id,player_name,position,team_title,league,season,position_main,games,time,minutes_per_game,high_participation,goals_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,xGChain_90,xGBuildup_90,target_xG_90
9681,Frank Onyeka,M S,Brentford,Premier-League,2023-2024,M,26,1124,43.23076923076923,0,0.0800711743772241,0.1601423487544483,0.1479409507134418,1.7615658362989324,0.9608540925266904,0.6405693950177935,0.0,0.4895121747051163,0.1909391846660246,0.1606959783806866
998,Ivan Toney,F S,Brentford,Premier-League,2023-2024,F,17,1447,85.11764705882354,1,0.248790601243953,0.1243953006219765,0.1359757772018024,3.1720801658604008,0.8085694540428472,0.3109882515549412,0.0,0.4758250016175885,0.0687737776958991,0.4436357553311995
10809,Keane Lewis-Potter,D F S,Brentford,Premier-League,2023-2024,D,30,1432,47.733333333333334,0,0.1885474860335195,0.0628491620111731,0.1014800819271769,2.702513966480447,0.8170391061452514,0.0,0.0,0.5873226181229358,0.0791157753982024,0.5393562553315189
9677,Kristoffer Ajer,D S,Brentford,Premier-League,2023-2024,D,28,1845,65.89285714285714,1,0.0975609756097561,0.048780487804878,0.126868906181033,0.5853658536585366,0.5853658536585366,0.2439024390243902,0.0,0.2785469160029074,0.1789318727465664,0.0715886620668376
9685,Mads Roerslev,D S,Brentford,Premier-League,2023-2024,D,34,2009,59.088235294117645,0,0.0447984071677451,0.0895968143354902,0.092499685692084,0.313588850174216,0.6719761075161772,0.0447984071677451,0.0,0.2816351956046743,0.1961380010679357,0.0505373873754838
7047,Mark Flekken,GK,Brentford,Premier-League,2023-2024,GK,37,3293,89.0,1,0.0,0.0273307014880048,0.0079582968029322,0.0,0.0819921044640145,0.0819921044640145,0.0,0.1288192305796475,0.1236633439156609,0.0
7166,Mathias Jensen,M S,Brentford,Premier-League,2023-2024,M,32,2294,71.6875,1,0.1176983435047951,0.1176983435047951,0.192554783296902,0.5492589363557105,1.6085440278988663,0.1961639058413251,0.0,0.4353429400666561,0.3732018179723825,0.0270385659521457
9733,Nathan Collins,D S,Brentford,Premier-League,2023-2024,D,32,2647,82.71875,1,0.034000755572346,0.034000755572346,0.0699301579953771,0.3400075557234605,0.3740083112958066,0.1020022667170381,0.0,0.2411277862219966,0.1574152799778483,0.0667456884963088
9680,Vitaly Janelt,D M S,Brentford,Premier-League,2023-2024,D,38,3137,82.55263157894737,1,0.0286898310487727,0.0860694931463181,0.1237738421166023,0.602486452024227,1.0615237488045903,0.2295186483901816,0.0,0.3559013567734266,0.2591526606183999,0.0578467237324016
5786,Yoane Wissa,F S,Brentford,Premier-League,2023-2024,F,34,2556,75.17647058823529,1,0.4225352112676056,0.1056338028169014,0.1348070825227129,2.359154929577465,1.0211267605633805,0.2464788732394366,0.0,0.5763528123497963,0.1615348869842857,0.3933098459695007
