id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
6400,Antonio Martínez,10,652,2,2.6395115070044994,1,0.6223418563604355,19,3,0,0,F S,Alaves,2,2.6395115070044994,2.128783056512475,0.3834371697157621,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
6531,Alexander Sørloth,9,358,2,2.0527708306908607,0,0.0471980199217796,10,1,2,1,F S,Atletico Madrid,2,2.0527708306908607,1.6875930987298489,0.031262032687664,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
6933,Javi Puado,8,679,2,4.838970278389752,0,0.9579164311289788,15,10,2,0,F M,Espanyol,1,3.3524150969460607,3.2629179880023003,1.2333675622940063,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
7810,Ruben Vargas,9,665,2,1.248472049832344,4,1.764968678355217,17,11,1,0,F M S,Sevilla,2,1.248472049832344,3.545870654284954,1.1727605517953634,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
8091,Ronald Araújo,8,427,2,0.7628793679177761,0,0.0485102459788322,6,1,2,0,D S,Barcelona,2,0.7628793679177761,1.8066610023379328,1.2886724472045898,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
8187,Georges Mikautadze,6,384,2,2.652756541967392,1,1.061649201437831,12,3,0,0,F S,Villarreal,2,2.652756541967392,3.3802970349788666,0.1239203326404094,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
8328,Azz-Eddine Ounahi,5,374,2,0.5815721526741982,0,0.8987996205687523,8,6,2,0,M S,Girona,2,0.5815721526741982,1.8657411560416224,1.251878246665001,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
8549,Ferrán Jutglà,8,466,2,1.83895205706358,0,0.6811221353709698,16,4,1,0,F M S,Celta Vigo,2,1.83895205706358,2.330149583518505,1.2393442541360855,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
8696,Pape Alassane Gueye,10,678,2,1.2840893026441336,1,0.976464495062828,19,10,4,0,M S,Villarreal,2,1.2840893026441336,5.887458106502891,4.15048660337925,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
8935,Pedri,10,857,2,1.124854987487197,1,2.618949458003044,12,25,0,1,M,Barcelona,2,1.124854987487197,10.036441527307034,7.727477572858334,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
9694,Diego López,10,765,2,1.5033786529675126,0,0.9058735594153404,10,5,2,0,F M S,Valencia,2,1.5033786529675126,2.802372455596924,0.4763764999806881,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
9796,Giuliano Simeone,10,758,2,2.9003612212836742,3,2.076982095837593,15,10,1,0,F M S,Atletico Madrid,2,2.9003612212836742,6.096415787935257,1.7882187478244305,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
10095,Abdessamad Ezzalzouli,6,411,2,2.4748683273792267,1,1.925453865900636,17,7,0,0,M S,Real Betis,2,2.4748683273792267,4.928209543228149,1.136991385370493,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
11094,Antony,6,518,2,1.269626758992672,0,0.5051763691008091,21,12,1,0,M,Real Betis,2,1.269626758992672,3.814330160617829,2.534952968358993,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
11154,Pablo Durán,9,427,2,1.2964748423546553,0,0.0378673821687698,12,1,0,0,F M S,Celta Vigo,2,1.2964748423546553,1.509567528963089,0.2358877900987863,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
11208,Mateo Joseph,9,511,2,2.928565299138427,1,0.1968106282874941,16,5,0,0,F M S,Mallorca,2,2.928565299138427,3.30279291421175,0.1774170091375708,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
11264,Carlos Álvarez,10,591,2,0.8481165124103427,1,1.7257579993456602,11,10,1,0,M S,Levante,2,0.8481165124103427,4.306415339000523,2.393545098602772,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
11402,Carlos Romero,10,882,2,1.3185977470129728,1,1.1726581677794456,11,9,0,0,D,Espanyol,2,1.3185977470129728,3.840774137526751,2.247019626200199,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
11527,Lamine Yamal,6,456,2,1.895651154220104,4,1.8780353590846064,28,12,0,0,M S,Barcelona,1,1.1523735374212265,4.388593025505543,2.71411170065403,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
11783,Akor Adams,8,358,2,2.0938849449157715,1,0.0758099630475044,11,2,1,0,F S,Sevilla,2,2.0938849449157715,2.183742254972458,0.4116829689592123,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
12160,Alberto Moleiro,10,538,2,1.408084612339735,1,0.9823104776442052,12,8,0,0,F M S,Villarreal,2,1.408084612339735,3.262691430747509,1.015840021893382,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
14041,Vladyslav Vanat,7,502,2,1.9042451828718183,0,0.7172680348157883,8,4,0,0,F,Girona,2,1.9042451828718183,2.7071066685020924,0.6645252406597137,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
257,Jeremy Toljan,10,870,1,0.5873989202082157,2,2.1016296818852425,3,11,2,0,D,Levante,1,0.5873989202082157,4.29618476331234,2.176403185352683,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
556,Marcus Rashford,10,642,1,2.2787488801404834,4,2.54394818097353,29,20,1,0,M S,Barcelona,1,2.2787488801404834,4.974012671969831,2.0969479624181986,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
1003,Pablo Maffeo,6,481,1,0.1636094469577074,0,0.1159879434853792,2,4,2,0,D S,Mallorca,1,0.1636094469577074,2.2952702306210995,2.0156727880239487,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
1189,Lucas Boyé,7,463,1,1.4092214740812778,0,0.8851350545883179,16,8,0,0,F M S,Alaves,1,1.4092214740812778,2.3027766682207584,0.6473297532647848,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
2120,Gerard Moreno,3,185,1,1.0465586185455322,0,1.092779465019703,5,6,0,0,F,Villarreal,0,0.3032810091972351,1.6575312092900276,1.0402585342526436,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
2186,Morales,10,186,1,1.7003175616264343,0,0.5101864412426949,4,5,1,0,M S,Levante,0,0.9570399522781372,2.7400531992316246,1.3679095190018415,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
2270,Antoine Griezmann,10,377,1,1.4028612803667784,0,0.7190025150775909,13,8,0,0,F S,Atletico Madrid,1,1.4028612803667784,3.28799968957901,1.5672207400202751,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
2290,Iago Aspas,8,360,1,1.6754222363233566,1,1.072642823681235,11,14,1,0,F M S,Celta Vigo,1,1.6754222363233566,3.862448781728745,1.4674364104866982,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
2306,Cédric Bakambu,7,49,1,0.8922426775097847,0,0.0154914101585745,4,1,0,0,S,Real Betis,1,0.8922426775097847,1.1686319001019,0.2608977891504764,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
