id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90
9399,Quentin Merlin,28,1916,D M S,Nantes,Ligue-1,2021-2022,0.0939457202505219,0.01844259694953583,0.1409185803757829,0.13442725229946145,0.5167014613778705,1.4091858037578289,0.0,0.0,0.0939457202505219,0.01844259694953583,0.33733312385681713,0.2592839514894998
9511,Castello Lukeba,24,2099,D,Lyon,Ligue-1,2021-2022,0.0857551214864221,0.08890475274257544,0.0,0.00723940017267089,0.2572653644592663,0.12863268222963314,0.04287756074321105,0.0,0.0857551214864221,0.08890475274257544,0.39603731333641495,0.39603731333641495
9781,Osman Bukari,24,1001,D F M S,Nantes,Ligue-1,2021-2022,0.1798201798201798,0.19105468755708885,0.3596403596403596,0.2758668858714246,1.7982017982017982,1.5284715284715285,0.0899100899100899,0.0,0.1798201798201798,0.19105468755708885,0.511321550082568,0.10169489454332885
10271,Vanderson,17,1123,D M S,Monaco,Ligue-1,2021-2022,0.16028495102404275,0.07730903024333242,0.08014247551202137,0.13647467095341834,1.1219946571682993,0.8815672306322351,0.2404274265360641,0.0,0.16028495102404275,0.07730903024333242,0.5054094609228076,0.35630032725346905
150,Josuha Guilavogui,15,1339,D M,Bordeaux,Ligue-1,2021-2022,0.06721433905899926,0.1065634583666242,0.06721433905899926,0.07506545357993172,0.6721433905899925,0.8737864077669902,0.26885735623599705,0.0,0.06721433905899926,0.1065634583666242,0.3389298586735448,0.23906592925129944
626,Eliaquim Mangala,14,1188,D,Saint-Etienne,Ligue-1,2021-2022,0.07575757575757576,0.042018954726782715,0.0,0.0022087727362910836,0.2272727272727273,0.07575757575757576,0.6818181818181819,0.0,0.07575757575757576,0.042018954726782715,0.08250484708696604,0.08029607435067494
771,Georginio Wijnaldum,31,1652,F M S,Paris Saint Germain,Ligue-1,2021-2022,0.05447941888619855,0.13531542928848805,0.16343825665859565,0.12698651415456005,1.1985472154963681,0.6537530266343826,0.1089588377723971,0.0,0.05447941888619855,0.13531542928848805,0.6534999545007384,0.4388967653698137
914,Nabil Bentaleb,18,1530,M,Angers,Ligue-1,2021-2022,0.058823529411764705,0.029564470819690648,0.0,0.003961487728006694,0.9411764705882353,0.1764705882352941,0.23529411764705882,0.0,0.058823529411764705,0.029564470819690648,0.1829952844144667,0.1645501750685713
943,Massadio Haidara,20,1066,D M S,Lens,Ligue-1,2021-2022,0.08442776735459662,0.028324072549773083,0.08442776735459662,0.012501329288417806,0.42213883677298314,0.25328330206378985,0.42213883677298314,0.08442776735459662,0.08442776735459662,0.028324072549773083,0.25964637266866875,0.2407873283868995
1245,Emerson,29,2271,D M S,Lyon,Ligue-1,2021-2022,0.03963011889035667,0.03000797318784296,0.07926023778071334,0.17415244332816124,0.6340819022457067,1.2285336856010567,0.11889035667107001,0.03963011889035667,0.03963011889035667,0.03000797318784296,0.5135266437555714,0.4578878451015706
1461,Pol Lirola,34,1755,D M S,Marseille,Ligue-1,2021-2022,0.05128205128205128,0.05414092875061891,0.10256410256410256,0.1663518441984287,0.6666666666666667,1.3333333333333335,0.05128205128205128,0.0,0.05128205128205128,0.05414092875061891,0.441343817477807,0.2724630379906067
