id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
5656,Nicolas Pepe,13,849,2,4.774215085431933,1,2.8540606144815683,28,26,1,0,F M S,Villarreal,2,4.774215085431933,10.585190579295158,4.306028516963124,La-Liga,2025-2026,13,2025-11-26 18:51:38
5682,Gonçalo Guedes,13,541,2,1.100839126855135,1,0.38535833917558193,12,8,0,0,M S,Real Sociedad,2,1.100839126855135,3.6090591214597225,2.3990460708737373,La-Liga,2025-2026,13,2025-11-26 18:51:38
6400,Antonio Martínez,13,896,2,2.862729411572218,1,0.6223418563604355,23,3,0,0,F S,Alaves,2,2.862729411572218,2.9794528875499964,1.0728861670941114,La-Liga,2025-2026,13,2025-11-26 18:51:38
6531,Alexander Sørloth,12,521,2,2.3203783854842186,0,0.48903005942702293,13,5,2,1,F S,Atletico Madrid,2,2.3203783854842186,2.4470388554036617,0.08126822113990784,La-Liga,2025-2026,13,2025-11-26 18:51:38
6933,Javi Puado,8,679,2,4.838970278389752,0,0.9579164311289787,15,10,2,0,F M,Espanyol,1,3.3524150969460607,3.2629179880023003,1.2333675622940063,La-Liga,2025-2026,13,2025-11-26 18:51:38
7070,Santiago Comesaña,12,805,2,2.4501817151904106,2,1.294834677129984,15,11,2,0,M S,Villarreal,2,2.4501817151904106,8.53541854582727,5.787010284140706,La-Liga,2025-2026,13,2025-11-26 18:51:38
7308,Ander Barrenetxea,12,890,2,1.3204482225701213,3,3.2813059091567993,17,22,1,0,F M S,Real Sociedad,2,1.3204482225701213,6.857266843318939,4.109143830835819,La-Liga,2025-2026,13,2025-11-26 18:51:38
7604,Alejandro Catena,13,1170,2,1.9243946140632033,1,0.22888796031475067,10,6,5,0,D,Osasuna,2,1.9243946140632033,1.7249794509261847,0.8478724118322134,La-Liga,2025-2026,13,2025-11-26 18:51:38
8091,Ronald Araújo,11,648,2,0.7628793679177761,0,0.048510245978832245,6,1,2,0,D S,Barcelona,2,0.7628793679177761,2.9272006526589394,2.4092120975255966,La-Liga,2025-2026,13,2025-11-26 18:51:38
8187,Georges Mikautadze,8,456,2,3.2163495123386383,2,1.2433340679854155,14,5,0,0,F S,Villarreal,2,3.2163495123386383,4.223761186003685,0.22210663929581642,La-Liga,2025-2026,13,2025-11-26 18:51:38
